PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Martínez-Lao, JA; García-Chica, A; Sánchez-Salinas, S; Viciana-Gámez, EJ; Cama-Pinto, A				Martinez-Lao, Juan Antonio; Garcia-Chica, Antonio; Sanchez-Salinas, Silvia; Viciana-Gamez, Eduardo Jose; Cama-Pinto, Alejandro			Electric Vehicle Charging Logistics in Spain: An In-Depth Analysis	SMART CITIES				Article								Highlights What are the main findings? The paradox of fast charging: while fast charging reduces charging times, its high energy intensity poses additional challenges to the grid and may require targeted investments to strengthen certain parts of the electricity infrastructure. Seasonal impact on charging: the number of electric vehicles that can be charged simultaneously is significantly affected by the time of year, due to seasonal variations in electricity demand and renewable energy generation. What are the implications of the main findings? Challenges of fragmented renewable capacity: although wind and solar power generation are steadily increasing, their variability and lack of direct synchronization with EV charging schedules increases the need for intermediate storage or advanced grid management. Synchronization with nighttime demand: the Spanish grid's ability to support electric vehicle (EV) charging benefits from the significant drop in energy demand at night, creating an optimal window for EV charging without compromising grid stability.Highlights What are the main findings? The paradox of fast charging: while fast charging reduces charging times, its high energy intensity poses additional challenges to the grid and may require targeted investments to strengthen certain parts of the electricity infrastructure. Seasonal impact on charging: the number of electric vehicles that can be charged simultaneously is significantly affected by the time of year, due to seasonal variations in electricity demand and renewable energy generation. What are the implications of the main findings? Challenges of fragmented renewable capacity: although wind and solar power generation are steadily increasing, their variability and lack of direct synchronization with EV charging schedules increases the need for intermediate storage or advanced grid management. Synchronization with nighttime demand: the Spanish grid's ability to support electric vehicle (EV) charging benefits from the significant drop in energy demand at night, creating an optimal window for EV charging without compromising grid stability.Abstract Spain's National Integrated Energy and Climate Plan (PNIEC) addresses the policies and measures needed to contribute to the European target of a 23% reduction in greenhouse gas emissions by 2030 compared to 1990 levels. To this end, the decarbonization of the transport sector is very important in order to increase electric mobility. Electric mobility depends on the conditions of the electrical infrastructure. This research focuses on the electrical distribution network in terms of its current capacity for recharging electric vehicles, which are estimated to account for 20.7% of vehicles, which is about 4 million vehicles. This, therefore, illustrates the need to legislate to improve the electrical infrastructure for recharging electric vehicles, with the aim of deploying electric vehicles on a larger scale and, ultimately, allowing society to benefit from the advantages of this technology.	[Martinez-Lao, Juan Antonio; Garcia-Chica, Antonio; Sanchez-Salinas, Silvia; Viciana-Gamez, Eduardo Jose] Univ Almeria, Dept Engn, Ctra Sacramento S-N, Almeria 04120, Spain; [Martinez-Lao, Juan Antonio; Sanchez-Salinas, Silvia] CIMEDES Res Ctr CeiA3, Ctra Sacramento S-N, Almeria 04120, Spain; [Cama-Pinto, Alejandro] Univ La Costa, Fac Engn, Dept Comp Sci & Elect, Barranquilla 080002, Colombia		Cama-Pinto, A (corresponding author), Univ La Costa, Fac Engn, Dept Comp Sci & Elect, Barranquilla 080002, Colombia.	jml357@ual.es; agc989@ual.es; silvia.sanchez@ual.es; eduviciana@ual.es; acama1@cuc.edu.co								0	0											MAR 13	2025	8	2							50	10.3390/smartcities8020050	http://dx.doi.org/10.3390/smartcities8020050												2025-12-09	
J	Huang, XQ; Chen, J; Yang, H; Cao, YJ; Guan, WD; Huang, BC				Huang, Xiaoqing; Chen, Jie; Yang, Hang; Cao, Yijia; Guan, Weide; Huang, Bicheng			Economic planning approach for electric vehicle charging stations integrating traffic and power grid constraints	IET GENERATION TRANSMISSION & DISTRIBUTION				Article								Large-scale electric vehicle (EV) charging will bring new challenges to coordination of grid and transportation. To facilitate large-scale EV applications, optimal locating and sizing of charging stations have become essential. For the investors of a charging station, economic benefit is the primary and the only objective. In this context, this work studies the siting and sizing of EV stations based on the optimal economic benefit. Benefit changes with time, location and capacity. A planning model method considering net present value (NPV) and life cycle cost (LCC) is proposed to determine the site and the size of the charging stations. The model has integrated distribution network constraint, the user constraint and the traffic flow captured constraint. Origin-destination lines and voronoi diagram are selected to calculate the traffic flow and the service region of each charging station, respectively. The quantum genetic algorithm was adopted for a better convergence of the planning model. Finally, a coupled 33-node distribution system and a 36-node transportation system are used to simulate various scenarios in the coupled networks of grid and transportation. The simulation results show that by introducing a planning model method considering NPV and LCC, the charging station economical benefits can be further improved.	[Huang, Xiaoqing; Chen, Jie; Cao, Yijia; Guan, Weide; Huang, Bicheng] Hunan Univ, Coll Elect & Informat Engn, Changsha 410082, Hunan, Peoples R China; [Yang, Hang] State Grid Shandong Elect Power Co, Shandong Power Econ Res Inst, Jinan 250000, Shandong, Peoples R China		Huang, XQ (corresponding author), Hunan Univ, Coll Elect & Informat Engn, Changsha 410082, Hunan, Peoples R China.	huangxiaoqing@hnu.edu.cn								52	63											SEP 30	2018	12	17					3925	3934		10.1049/iet-gtd.2018.5456	http://dx.doi.org/10.1049/iet-gtd.2018.5456												2025-12-09	
J	Maleki, S; Eslami, M; Shahbazzadeh, MJ; Khajehzadeh, A				Maleki, Sima; Eslami, Mahdiyeh; Shahbazzadeh, Mahdi Jafari; Khajehzadeh, Alimorad			Optimal electric vehicle navigation through smart grid synergy and innovative routing strategies	SUSTAINABLE ENERGY GRIDS & NETWORKS				Article								The synergistic integration of the smart grid and smart transportation network presents a wealth of data pertaining to the main grid and transportation infrastructure, offering valuable insights for electric vehicle (EV) owners to navigate their vehicles efficiently. However, the unpredictable nature of traffic conditions, charging prices, and waiting times at charging stations poses a significant challenge to achieving optimal EV navigation. In response to this challenge, a novel navigation system is proposed that strives to minimize both total travel time and charging costs at charging stations. The approach of this paper involves leveraging a unique methodology to determine the shortest path to the optimal charging station, which will be one of the renewable charging station, non-renewable charging station and mobile EV chargers, employing Dijkstra's algorithm for efficient route planning. The system takes into account real-time data on traffic dynamics, charging station availability, and pricing fluctuations to dynamically adjust navigation routes, ensuring that EV owners can make informed decisions on the go. To validate the effectiveness of the proposed approach, a series of experiments are conducted. The results demonstrate the system's ability to optimize both travel time and charging costs, providing a practical solution for EV navigation in the face of unpredictable variables. These findings validate the effectiveness of the proposed system in optimizing EV navigation under dynamic and uncertain conditions, offering practical solutions for diverse EV mobility configurations.	[Maleki, Sima; Eslami, Mahdiyeh; Shahbazzadeh, Mahdi Jafari; Khajehzadeh, Alimorad] Islamic Azad Univ, Dept Elect Engn, Kerman Branch, Kerman, Iran		Eslami, M; Shahbazzadeh, MJ (corresponding author), Islamic Azad Univ, Dept Elect Engn, Kerman Branch, Kerman, Iran.	mahdiyeh_eslami@yahoo.com; mjafari@iauk.ac.ir								0	0											JUN	2025	42								101669	10.1016/j.segan.2025.101669	http://dx.doi.org/10.1016/j.segan.2025.101669		MAR 2025										2025-12-09	
J	Wang, X; Shahidehpour, M; Jiang, CW; Li, ZY				Wang, Xu; Shahidehpour, Mohammad; Jiang, Chuanwen; Li, Zhiyi			Coordinated Planning Strategy for Electric Vehicle Charging Stations and Coupled Traffic-Electric Networks	IEEE TRANSACTIONS ON POWER SYSTEMS				Article								The proliferation of electric vehicles (EVs) calls for an effective planning of charging stations by coupling the transportation network (TN) with the power distribution network (PDN). This paper conducts an interdisciplinary study on the coordinated planning strategy of EV charging stations in a coupled traffic-electric network. A comprehensive planning model is proposed, which determines the optimal expansion strategies for both TN and PDN, including sites and sizes of new charging stations, charging spots, TN lanes, and PDN lines. In TN, we use an unconstrained traffic assignment model (UTAM) to explicitly capture the steady-state distribution of traffic flows. In PDN, operating conditions are described by a linearized DistFlow. Moreover, EV charging demands and interdependency of TN and PDN are characterized by EV charging station location model. To retrieve a global optimal solution, an equivalent mixed-integer linear programming model with UTAM constraints is formulated for the coordinated planning model. Numerical experiments on coupled traffic-electric networks are conducted to validate the effectiveness of the proposed model and the solution method.	[Wang, Xu; Jiang, Chuanwen] Shanghai Jiao Tong Univ, Sch Elect Informat & Elect Engn, Shanghai 200240, Peoples R China; [Wang, Xu; Shahidehpour, Mohammad; Li, Zhiyi] IIT, Galvin Ctr Elect Innovat, Chicago, IL 60616 USA; [Shahidehpour, Mohammad] King Abdulaziz Univ, Renewable Energy Res Grp, Jeddah 21589, Saudi Arabia		Shahidehpour, M (corresponding author), IIT, Galvin Ctr Elect Innovat, Chicago, IL 60616 USA.	wangxu1989@sjtu.edu.cn; ms@iit.edu; jiangcw@sjtu.edu.cn; zli132@hawk.iit.edu								210	256											JAN	2019	34	1					268	279		10.1109/TPWRS.2018.2867176	http://dx.doi.org/10.1109/TPWRS.2018.2867176												2025-12-09	
J	de Quevedo, PM; Muñoz-Delgado, G; Contreras, J				Meneses de Quevedo, Pilar; Munoz-Delgado, Gregorio; Contreras, Javier			Impact of Electric Vehicles on the Expansion Planning of Distribution Systems Considering Renewable Energy, Storage, and Charging Stations	IEEE TRANSACTIONS ON SMART GRID				Article								Energy storage systems (ESS) have adopted a new role with the increasing penetration of electric vehicles (EV) and renewable energy sources (RES). EV introduce new charging demands that change the traditional demand profiles and RES are characterized by their high variability. This paper presents a new multistage distribution expansion planning model where investments in distribution network assets, RES, ESS, and EV charging stations are jointly considered. The charging demand necessary for EV transportation is performed using a vehicle model based on travel patterns. The variability associated with RES along with the demand requires the incorporation of uncertainty, which is characterized through a set of scenarios. These scenarios are generated by the k-means++ clustering technique that allows keeping the correlation in the information of the uncertainty sources. The resulting stochastic program is driven by the minimization of the present value of the total expected cost including investment, maintenance, production, losses, and non-supplied energy. The associated scenario-based deterministic equivalent is formulated as a mixed-integer linear program, which can be solved by commercial software. Numerical results are presented for an illustrative 54-node test system.	[Meneses de Quevedo, Pilar; Munoz-Delgado, Gregorio; Contreras, Javier] Univ Castilla La Mancha, ETS Ingenieros Ind, E-13071 Ciudad Real, Spain		Contreras, J (corresponding author), Univ Castilla La Mancha, ETS Ingenieros Ind, E-13071 Ciudad Real, Spain.	pilar.meneses@uclm.es; gregorio.munoz.delgado@gmail.com; javier.contreras@uclm.es								173	181											JAN	2019	10	1					794	804		10.1109/TSG.2017.2752303	http://dx.doi.org/10.1109/TSG.2017.2752303												2025-12-09	
J	Rohani, A; Nahavandi, A; Abasi, M; Joorabian, M				Rohani, Arash; Nahavandi, Ali; Abasi, Mahyar; Joorabian, Mahmood			Power management of harmonic polluted active distribution network in the presence of integrated unit of electric spring and electric vehicles parking lot	IET GENERATION TRANSMISSION & DISTRIBUTION				Article								This paper presents the optimal scheduling of active distribution network (ADN) with linear and non-linear loads in the presence of an integrated unit of electric spring and electric vehicle parking lot (IUEE). The proposed scheme is formulated in the form of three-objective optimization, which minimizes the expected operating cost of the ADN, voltage deviation function (VDF), and the total harmonic distortion (THD) of the voltage in separate objective functions. Constraints include harmonic power flow (HPA) equations, operation and power quality limits, and operation model of the IUEE. This scheme has uncertainties of load, energy price, and energy demand of EVs, which are modelled here using stochastic programming. Next, the sum of the weighted functions method as a subset of the Pareto optimization technique is adopted to extract the integrated single-objective problem. Then, Sine-Cosine Combined Algorithm (SCA) and Gray Wolf Optimization (GWO) are used to achieve an optimal solution. In the end, by examining the numerical results obtained from the implementation of the proposed scheme on a 69-bus ADN, the capability of the design in enhancing the economic situation, operation, and power quality of the ADN compared to network power flow studies obtained by optimal scheduling of the IUEE is confirmed.	[Rohani, Arash] Khuzestan Reg Elect Co KZREC, Ahvaz, Iran; [Nahavandi, Ali] Malayer Univ, Fac Engn, Dept Elect Engn, Malayer, Iran; [Abasi, Mahyar] ACECR Khuzestan, Dept Elect Engn Inst Higher Educ, Khuzestan, Iran; [Joorabian, Mahmood] Shahid Chamran Univ Ahvaz, Fac Engn, Dept Elect Engn, Ahvaz, Iran; [Abasi, Mahyar] ACECR Khuzestan, Inst Higher Educ, Dept Elect Engn, Khuzestan, Iran		Abasi, M (corresponding author), ACECR Khuzestan, Inst Higher Educ, Dept Elect Engn, Khuzestan, Iran.	mahyarabasi1368@yahoo.com								0	1											JUL	2023	17	13					3030	3045		10.1049/gtd2.12875	http://dx.doi.org/10.1049/gtd2.12875		MAY 2023										2025-12-09	
J	Moradi-Sepahvand, M; Amraee, T; Aminifar, F; Akbari, A				Moradi-Sepahvand, Mojtaba; Amraee, Turaj; Aminifar, Farrokh; Akbari, Amirhossein			Coordinated expansion planning of transmission and distribution systems integrated with smart grid technologies	INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS				Article								Integration of smart grid technologies in distribution systems, particularly behind-the-meter initiatives, has a direct impact on transmission network planning. This paper develops a coordinated expansion planning of transmission and active distribution systems via a stochastic multistage mathematical programming model. In the transmission level, in addition to lines, sitting and sizing of utility-scale battery energy storage systems and wind power plants under renewable portfolio standard policy are planned. Switchable feeders and distributed generations are decision variables in the distribution level while the impact of demand response programs as a sort of behind-the-meter technologies is accommodated as well. Expansion of electric vehicle taxi charging stations is included as a feasible option in both transmission and distribution levels. In order to deal with short-term uncertainty of load demand, renewable energy sources output power, and the charging pattern of electric vehicle taxis in each station, a chronological time-period clustering algorithm along with Monte Carlo simulation is utilized. The proposed model is tackled by means of Benders Dual Decomposition (BDD) method. The IEEE RTS test system (as the transmission system) along with four IEEE 33-node test feeders (as distribution test systems) are examined to validate effectiveness of the proposed model.	[Moradi-Sepahvand, Mojtaba] Delft Univ Technol, Dept Elect Sustainable Energy, Delft, Netherlands; [Amraee, Turaj; Akbari, Amirhossein] KN Toosi Univ Technol, Fac Elect Engn, Tehran, Iran; [Aminifar, Farrokh] Univ Tehran, Coll Engn, Sch Elect & Comp Engn, Tehran, Iran		Moradi-Sepahvand, M (corresponding author), Delft Univ Technol, Dept Elect Sustainable Energy, Delft, Netherlands.	m.moradisepahvand@tudelft.nl; amraee@kntu.ac.ir; faminifar@ut.ac.ir; a.h.akbari@email.kntu.ac.ir								42	44											MAY	2023	147								108859	10.1016/j.ijepes.2022.108859	http://dx.doi.org/10.1016/j.ijepes.2022.108859		MAY 2022										2025-12-09	
J	Brahmachary, R; Ahmed, I				Brahmachary, Rupali; Ahmed, Irfan			Optimal Distribution Network Expansion and EV Charging Station Allocation Based on Load Forecasted Using Machine Learning	IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS				Article								Effective expansion planning is essential for maintaining the stability, reliability, and longevity of distribution networks amidst increasing load demands. This study focuses on strategic expansion planning, incorporating the optimal placement of electric vehicle charging stations (EVCSs) and port numbers in an overlapped road and distribution network. It also addresses the replacement of branch conductors to prevent network overloads, along with optimal scheduling of electric vehicle (EV) loads to reduce its impact during peak loading conditions. Further, the increase in the harmonic distortion due to the increasing EVCSs and other nonlinear loads is mitigated through the optimal allocation of active power filters (APFs). Transformer derating due to harmonics is also evaluated, and the transformer rating is upgraded accordingly. For robust expansion planning, future load demand is predicted using Random Forest (RF) regression, while uncertainties in EV driving patterns are managed using the 2m-point estimation method (2m-PEM). During solution of the expansion planning problem, this paper focuses on minimizing energy losses and costs while maximizing the average happiness index (AHI) of the EV users. A multi-objective optimization framework is proposed and tested on a practical 40-bus distribution network to ensure that the network effectively accommodates future demands and enhances overall system performance.	[Brahmachary, Rupali; Ahmed, Irfan] Natl Inst Technol Durgapur, Durgapur 713209, West Bengal, India		Brahmachary, R (corresponding author), Natl Inst Technol Durgapur, Durgapur 713209, West Bengal, India.	brahmachary.rupali29@gmail.com; airfan.ee@nitdgp.ac.in								3	4											JUL-AUG	2025	61	4					5699	5713		10.1109/TIA.2025.3546595	http://dx.doi.org/10.1109/TIA.2025.3546595												2025-12-09	
J	Bitencourt, L; Abud, TP; Dias, BH; Borba, BSMC; Maciel, RS; Quirós-Tortós, J				Bitencourt, Leonardo; Abud, Tiago P.; Dias, Bruno H.; Borba, Bruno S. M. C.; Maciel, Renan S.; Quiros-Tortos, Jairo			Optimal location of EV charging stations in a neighborhood considering a multi-objective approach	ELECTRIC POWER SYSTEMS RESEARCH				Article								Despite the environmental and economic benefits of Electric Vehicles (EVs), distribution network operators will need to understand the location where the charging infrastructure will be placed to ensure EV users' needs are met. In this sense, this work proposes a methodology to define the optimal location of EV semi-fast charging stations (CS) at a neighborhood level, through a multi-objective approach. It applies a hierarchical clustering method to define CS service zones, considering both technical and mobility aspects. Besides, it considers uncertainties related to the EV load profile to determine the CS capacity, based on the user's charging behavior. A Pareto Frontier method is deployed to support the decision-making process on CS optimal location, considering utility and EV users' preferences. The results indicate that the best CS locations for mid-term EV penetration can also fit into long-term planning, with higher EV charging demand. Thus, these locations would be good candidates for the power utility to make initial investments, regarding both planning horizons. A real distribution system case is used to demonstrate the applicability of the results.	[Bitencourt, Leonardo; Dias, Bruno H.] Univ Fed Juiz de Fora, Juiz De Fora, MG, Brazil; [Abud, Tiago P.; Borba, Bruno S. M. C.] Fluminense Fed Univ, Niteroi, RJ, Brazil; [Maciel, Renan S.] Fed Technol Univ Parana, Apucarana, Parana, Brazil; [Quiros-Tortos, Jairo] Costa Rica Univ, San Jose, Costa Rica		Bitencourt, L (corresponding author), Univ Fed Juiz de Fora, Juiz De Fora, MG, Brazil.	leonardo.bitencourt@engenharia.ufjf.br; tpabud@id.uff.br; bruno.dias@ufjf.edu.br; bborba@id.uff.br; renansmaciel@utfpr.edu.br; jairohumberto.quiros@ucr.ac.cr								58	64											OCT	2021	199								107391	10.1016/j.epsr.2021.107391	http://dx.doi.org/10.1016/j.epsr.2021.107391		JUN 2021										2025-12-09	
J	He, CK; Zhu, JZ; Li, SL; Chen, ZY; Wu, WL				He, Chenke; Zhu, Jizhong; Li, Shenglin; Chen, Ziyu; Wu, Wanli			Sizing and Locating Planning of EV Centralized-Battery-Charging-Station Considering Battery Logistics System	IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS				Article; Proceedings Paper								This article investigates the optimal planning of centralized charging and multipoint distribution network that includes centralized battery charging stations (CBCSs) and battery distribution stations (BDSs), which considers the battery logistics system. Based on the analysis of the characteristics of travel chains of swapping electric vehicles (SEVs), a time-space load forecasting model of SEVs is proposed. Then, based on function and characteristic analysis, operation models of CBCS, BDS, and the battery logistics system are built. Afterward, the sizing models of CBCSs and BDSs are established. Then, a double-level planning model of CBCSs considering battery logistics system is proposed. In the first level planning, the sizes and locations of CBCSs and BDSs are planned, and in the second-level planning, the economy of battery logistics company is optimized. Finally, the CPLEX toolbox and the Bellman-Ford algorithm are used to solve the planning model. Taking the actual situation of a certain region as the planning area, the feasibility and effectiveness of the method proposed in this article are verified.	[He, Chenke; Zhu, Jizhong; Li, Shenglin; Chen, Ziyu; Wu, Wanli] South China Univ Technol, Sch Elect Power Engn, Guangzhou 510641, Peoples R China		Zhu, JZ (corresponding author), South China Univ Technol, Sch Elect Power Engn, Guangzhou 510641, Peoples R China.	1197958177@qq.com; jizhong.zhu@ieee.org; eplish1@mail.scut.edu.cn; epchenzy@mail.scut.edu.cn; epwuwanli@mail.scut.edu.cn								31	35											JUL-AUG	2022	58	4					5184	5197		10.1109/TIA.2022.3168244	http://dx.doi.org/10.1109/TIA.2022.3168244												2025-12-09	
J	Zare, P; Dejamkhooy, A; Davoudkhani, IF				Zare, Peyman; Dejamkhooy, Abdolmajid; Davoudkhani, Iraj Faraji			Efficient expansion planning of modern multi-energy distribution networks with electric vehicle charging stations: A stochastic MILP model	SUSTAINABLE ENERGY GRIDS & NETWORKS				Article								This paper presents a stochastic Mixed-Integer Linear Programming (MILP) model developed to address the collaborative expansion planning of modern multi-energy distribution networks, taking into account the integration of Electric Vehicle Charging Stations (EVCSs) in the presence of uncertainties. The model is comprehensively formulated to encompass Distributed Generation (DG) resources, Electric Vehicles (EVs), and Capacitor Banks (CBs), alongside traditional expansion options like substations and circuit construction/reinforcement. The essence of this Distribution System Expansion Planning (DSEP) problem formulation lies in its stochastic approach, featuring chance constraints to effectively manage and address uncertainties. The central objective of the model is to minimize the total investment and operational expenditures associated with the DSEP problem over a designated planning horizon. The rigorous application of optimization techniques ensures the convergence of the MILP model, thereby delivering an efficient and reliable solution. The model's effectiveness is initially assessed using an 18-bus system, followed by comprehensive testing on a larger 123- bus system to gauge its robustness. Thorough performance evaluations are conducted across various case studies, encompassing both the 18- bus and 123- bus systems, culminating in the validation of the model's resilience, scalability, and replicability. These case studies encompass deterministic and stochastic methodologies across six distinct scenarios. The numerical outcomes conclusively demonstrate that the DSEP solution, when utilizing the stochastic approach without considering EVCSs, is associated with elevated costs. However, with a strategic allocation strategy for EVCSs, noteworthy reductions in investment expenditures related to substations, lines, and overall costs are notably achieved. The incorporation of uncertainty management within the DSEP problem underscores the flexibility and adaptability intrinsic to the proposed stochastic MILP model. These attributes render it ideally suited to effectively orchestrating the expansion of multi-energy distribution networks in the presence of EVCSs, thereby enhancing its utility and relevance in addressing modern energy distribution challenges.	[Zare, Peyman; Dejamkhooy, Abdolmajid; Davoudkhani, Iraj Faraji] Univ Mohaghegh Ardabili, Dept Elect Engn, Ardebil, Iran		Dejamkhooy, A; Davoudkhani, IF (corresponding author), Univ Mohaghegh Ardabili, Dept Elect Engn, Ardebil, Iran.	majiddejam@uma.ac.ir; faraji.iraj@gmail.com								39	41											JUN	2024	38								101225	10.1016/j.segan.2023.101225	http://dx.doi.org/10.1016/j.segan.2023.101225		DEC 2023										2025-12-09	
J	Zhang, ZL; Wan, YN; Qin, JH; Fu, WM; Kang, Y				Zhang, Zilin; Wan, Yanni; Qin, Jiahu; Fu, Weiming; Kang, Yu			A Deep RL-Based Algorithm for Coordinated Charging of Electric Vehicles	IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS				Article								The development of electric vehicle (EV) industry is facing a series of issues, among which the efficient charging of multiple EVs needs solving desperately. This paper investigates the coordinated charging of multiple EVs with the aim of reducing the charging cost, ensuring a high battery state of charge (SoC), and avoiding the transformer overload. To this end, we first formulate the EV coordinated charging problem with the above multiple objectives as a Markov Decision Process (MDP) and then propose a multi-agent deep reinforcement learning (DRL)-based algorithm. In the proposed algorithm, a novel interaction model, i.e., communication neural network (CommNet) model, is adopted to realize the distributed computation of global information (namely the electricity price, the transformer load, and the total charging cost of multiple EVs). Moreover, different from the most existing works which make specific constraints on the size, the location, or the topology of the distribution network, what we need in the proposed method is only the transformer load. Besides, due to the use of long and short-term memory (LSTM) for price prediction, the proposed algorithm can flexibly deal with various uncertain price mechanisms. Finally, simulations are presented to verify the effectiveness and practicability of the proposed algorithm in a residential charging area.	[Zhang, Zilin; Wan, Yanni; Qin, Jiahu; Fu, Weiming] Univ Sci & Technol China, Dept Automat, Hefei 230027, Peoples R China; [Qin, Jiahu; Kang, Yu] Hefei Comprehens Natl Sci Ctr, Inst Artificial Intelligence, Hefei 230088, Peoples R China; [Kang, Yu] Univ Sci & Technol China, Inst Adv Technol, Dept Automat, Hefei 230027, Peoples R China		Qin, JH (corresponding author), Univ Sci & Technol China, Dept Automat, Hefei 230027, Peoples R China.	zzlzzl@mail.ustc.edu.cn; wanyanni@mail.ustc.edu.cn; jhqin@ustc.edu.cn; fwm1993@ustc.edu.cn; kangduyu@ustc.edu.cn								44	47											OCT	2022	23	10					18774	18784		10.1109/TITS.2022.3170000	http://dx.doi.org/10.1109/TITS.2022.3170000		MAY 2022										2025-12-09	
J	Zhang, JQ; Li, CJ; Chen, G; Dong, ZY				Zhang, Jingqi; Li, Chaojie; Chen, Guo; Dong, Zhaoyang			Planning of Hydrogen Refueling Stations in Urban Setting While Considering Hydrogen Redistribution	IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS				Article								Electrified transportation systems and renewable energy resources have been recognized as effective environmental-friendly technologies against global warming contributed by greenhouse gas (GHG). Remarkably, hydrogen fuel cell-powered electric vehicles can outperform battery-powered electric vehicles largely in the sense of the driving range and the refueling time. However, both of them require a better coordination of infrastructure system and renewable energy resources to achieve a significant reduction of GHG emissions. This article aims to maximize the long-term profitability for the planning model of hydrogen refueling stations, where the capacitated flow refueling location model is leveraged for maximal traffic flow coverage. Furthermore, we discuss various real-world constraints, such as traffic network constraints, distribution network constraints, hydrogen balance constraints, and energy constraints for electric vehicles, to make the planning model more practical. By considering the uncertainty of the short-term refueling demand across the city, an approach for geographically redistributing hydrogen among the stations is also presented where the minimal cost of redistribution is modeled by one-commodity pickup-and-delivery traveling salesman problem. A real-life case study of Western Sydney is adopted to testify the efficiency of the planning model under current and future cost levels. Finally, a numerical simulation is utilized to demonstrate the validity of the hydrogen redistribution method.	[Zhang, Jingqi; Li, Chaojie; Chen, Guo; Dong, Zhaoyang] UNSW, Sch Elect Engn & Telecommun, Sydney, NSW 2052, Australia		Li, CJ (corresponding author), UNSW, Sch Elect Engn & Telecommun, Sydney, NSW 2052, Australia.	jingqi.zhang1@student.unsw.edu.au; chaojie.li@unsw.edu.au; guo.chen@unsw.edu.au; joe.dong@unsw.edu.au								30	31											MAR-APR	2022	58	2					2898	2908		10.1109/TIA.2021.3122785	http://dx.doi.org/10.1109/TIA.2021.3122785												2025-12-09	
J	Wang, XW; Shi, XY; Xu, YL; Shen, XW				Wang, Xiaowen; Shi, Xiaoying; Xu, Yinliang; Shen, Xinwei			Distribution Network Expansion Planning Approach for Large Scale Electric Vehicles Accommodation	IEEE TRANSACTIONS ON SUSTAINABLE ENERGY				Article								The increased power demand incurred by electric vehicles (EVs) has imposed new challenges on the distribution network. One significant responsibility of the distribution network operator (DNO) is to design and expand the distribution network periodically to accommodate the ever-increasing demand. The previous researches mainly use relaxation techniques to enhance the problem tractability, which would involve additional binary variables and incur computation burden to the optimization problem, or even worse, may lead to an intractable problem. This paper develops a mixed-integer non-linear programming (MINLP) model considering various network constraints for the distribution network expansion planning under a high penetration level of EVs. The stochastic characteristics of demands are addressed through set of scenarios. A distributed biased min-consensus algorithm based approach is proposed to solve the MINLP model. Finally, comparison tests are conducted on three different scales of distribution networks to validate the effectiveness of the proposed approach. Simulation results demonstrate that the computation time of the proposed approach is reduced by 42.46% on average for different systems compared with that of the traditional shortest path algorithm based approach.	[Wang, Xiaowen; Shi, Xiaoying; Xu, Yinliang; Shen, Xinwei] Tsinghua Univ, Tsinghua Berkeley Shenzhen Inst, Tsinghua Shenzhen Int Grad Sch, Shenzhen 518055, Peoples R China		Xu, YL; Shen, XW (corresponding author), Tsinghua Univ, Tsinghua Berkeley Shenzhen Inst, Tsinghua Shenzhen Int Grad Sch, Shenzhen 518055, Peoples R China.	wang-xw20@mails.tsinghua.edu.cn; xy-shi20@mails.tsinghua.edu.cn; xu.yinliang@sz.tsinghua.edu.cn; sxw.tbsi@sz.tsinghua.edu.cn								6	6											APR	2023	14	2					906	919		10.1109/TSTE.2022.3229382	http://dx.doi.org/10.1109/TSTE.2022.3229382												2025-12-09	
