"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Optimal Planning of Charging Stations in Coupled Transportation and Power Networks Based on User Equilibrium Conditions","G. Ferro; R. Minciardi; L. Parodi; M. Robba","Department of Informatics, Bioengineering, Robotics and Systems Engineering (DIBRIS), University of Genoa, Genoa, Italy; Department of Informatics, Bioengineering, Robotics and Systems Engineering (DIBRIS), University of Genoa, Genoa, Italy; Department of Informatics, Bioengineering, Robotics and Systems Engineering (DIBRIS), University of Genoa, Genoa, Italy; Department of Informatics, Bioengineering, Robotics and Systems Engineering (DIBRIS), University of Genoa, Genoa, Italy",IEEE Transactions on Automation Science and Engineering,"5 Jan 2022","2022","19","1","48","59","In this article, we propose a new bi-level approach for the location and sizing of charging stations (CSs) based on the integration of power distribution and traffic networks. At the lower level, the user choices and the energy demands are modeled through the user equilibrium (UE) traffic assignment conditions that are derived for the case of electric vehicles (EVs). At the higher level, an optimization problem is formalized for the optimal planning of locations, sizes, and unit prices of a set of new charging stations in a territory, which embeds the UE conditions and the power flow model as constraints. The main novelties lie in the integration of traffic and electric networks, the optimization problem formalization, and the inclusion of detailed electrical issues [such as the complete alternating current (AC) power flow equations and the modeling of CSs with different phases]. The developed model has been applied to a case study in the Genoa Municipality. Note to Practitioners—In the past decade, particular attention has been posed on EVs and renewable resources to reduce pollutants’ emissions. Critical issues regard the setting of adequate recharging infrastructure and the integration of huge distributed and intermittent loads and production into the electrical grid. This article aims to provide a bi-level optimization model that can be used by companies or public administrations that want to install charging stations in a territory. In particular, the transportation and the electrical networks are integrated: at a lower level, the UE traffic assignment conditions are derived to represent users’ choices and to assess the energy demand. At the upper level, an optimization problem is formalized, to minimize costs of installation and power losses and to maximize benefits, which embeds as constraints the UE conditions for the case of EVs and the model of the electrical grid (load flow equations, bounds over-voltage, apparent power, etc.).","1558-3783","","10.1109/TASE.2021.3066001","DIBRIS-UNIGE on institutional funding SEED 2019; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9387405","Charging stations (CSs);electric vehicles (EVs);optimization;smart grids;traffic control;transportation","Cascading style sheets;Optimization;Planning;Charging stations;Mathematical model;Vehicles;Reactive power","","36","","30","IEEE","26 Mar 2021","","","IEEE","IEEE Journals"
"Fair and Scalable Electric Vehicle Charging Under Electrical Grid Constraints","G. Tsaousoglou; J. S. Giraldo; P. Pinson; N. G. Paterakis","Department of Applied Mathematics and Computer Science, Technical University of Denmark, Kongens Lyngby, Denmark; Netherlands Organisation for Applied Scientific Research (TNO), Amsterdam, The Netherlands; Dyson School of Design Engineering, Imperial College London, London, U.K; Department of Electrical Engineering, Eindhoven University of Technology, Eindhoven, The Netherlands",IEEE Transactions on Intelligent Transportation Systems,"1 Dec 2023","2023","24","12","15169","15177","The increasing penetration of electric vehicles brings a consequent increase in charging facilities in the low-voltage electricity network. Serving all charging requests on-demand can endanger the safety of the electrical power distribution network. This creates the issue of fairly allocating the charging energy among electric vehicles while maintaining the system within safe operational margins. However, calculating efficient charging schedules for the charging stations bears a high computational burden due to the non-convexities of charging stations’ models. In this paper, we consider a tri-level system with electric vehicles, charging stations, and a power distribution system operator. The objective of each station is formulated as a max-min fairness, mixed-integer linear optimization problem, while the network constraints are modeled using a second-order conic formulation. In order to tackle the computational complexity of the problem, we decompose it and use a novel approximation method tailored to this problem. We compare the performance of the proposed method with that of the popular alternating direction method of multipliers. Our simulation results indicate that the proposed method achieves a near-optimal solution along with promising scalability properties.","1558-0016","","10.1109/TITS.2023.3311509","European Commission through the H2020 Project ebalance+(grant numbers:864283); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10251779","Electric vehicles;fairness;power distribution system;distributed optimization","Task analysis;Charging stations;Electric vehicle charging;Optimization;Scalability;Power demand;Convex functions","","15","","32","IEEE","14 Sep 2023","","","IEEE","IEEE Journals"
"Coordinated Planning of EV Charging Stations and Mobile Energy Storage Vehicles in Highways With Traffic Flow Modeling","Y. Zhang; Z. Yin; H. Xiao; F. Luo","State Key Laboratory of Disaster Prevention and Reduction for Power Grid, School of Electrical and Information Engineering, Changsha University of Science and Technology, Changsha, China; State Key Laboratory of Disaster Prevention and Reduction for Power Grid, School of Electrical and Information Engineering, Changsha University of Science and Technology, Changsha, China; School of Information and Electrical Engineering, Hunan University of Science and Technology, Xiangtan, China; Faculty of Engineering, The University of Sydney, Sydney, NSW, Australia",IEEE Transactions on Intelligent Transportation Systems,"27 Nov 2024","2024","25","12","21572","21584","With the rapid increasing number of on-road Electric Vehicles (EVs), properly planning the deployment of EV Charging Stations (CSs) in highway systems become an urgent problem in modern energy-transportation coupling systems. This paper proposes a hierarchical CS planning framework for highway systems by considering the integration of Mobile Energy Storage Vehicles (MESVs) and traffic flow patterns of the highway system in working days and holidays. In the upper level of the framework, an optimization model is formulated to determine the number and locations of CSs, and the configuration of MESVs. Based on these planning results, in the lower level, an operational planning model is established to optimize the charging power of the EVs in the CSs and the operation strategy of the MESVs. The outputs of the lower-level model are fed back to the upper level to update the planning result. This process iteratively proceeds until convergence. Business models are established for the MESVs in working days and holidays separately to accommodate the CSs in serving the EV charging demand of the highway and support the interaction between the CSs and the grid. Numerical simulation based on the real-world data is conducted to validate the proposed method.","1558-0016","","10.1109/TITS.2024.3472755","National Natural Science Foundation of China(grant numbers:52278003); Ministry of Education’s Industry School Cooperation Collaborative Education Project(grant numbers:220504422093632); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10726562","Electric vehicles;EV charging station;highway;mobile energy storage vehicles;smart grid","Road transportation;Planning;State of charge;Costs;Electric vehicle charging;Maintenance;Capacity planning;Batteries;Load flow;Investment","","7","","29","IEEE","21 Oct 2024","","","IEEE","IEEE Journals"
"Online Centralized Charging Coordination of PEVs With Decentralized Var Discharging for Mitigation of Voltage Unbalance","N. Jabalameli; X. Su; A. Ghosh","Electrical and Computer Engineering Department, Curtin University, Perth, WA, Australia; Electrical Engineering Department, Shanghai University of Electric Power, Shanghai, China; Electrical and Computer Engineering Department, Curtin University, Perth, WA, Australia",IEEE Power and Energy Technology Systems Journal,"18 Sep 2019","2019","6","3","152","161","The worldwide acceptance of plug-in electric vehicles (PEVs) is expected to tremendously grow in the next few years. Uncoordinated PEV charging can cause serious grid issues such as overloading of transformers and unacceptable voltage drops. Single-phase residential charging can also initiate or contribute to voltage unbalance in distribution networks. A potential solution for the PEV integration is shifting the charging activities from peak to valley periods. Therefore, this paper firstly investigates the impacts of uncoordinated single-phase PEV charging at residential houses on three-phase distribution networks. Then, it proposes a novel PEV charging coordination strategy based on heuristic genetic algorithm (GA) to perform online centralized charging considering transformer loading and bus voltage profiles. Based on this, a decentralized PEV reactive power discharging approach is presented where the reactive power is discharged at selected nodes for further reduction of voltage unbalance. The impacts of uncoordinated PEV charging as well as the performance of the proposed centralized PEV charging and decentralized var discharging strategies are tested on a real unbalanced Western Australian distribution network under the Perth Solar City project over 24 hours.","2332-7707","","10.1109/JPETS.2019.2931396","Australian Government Research Training Program and Shanghai Pujiang Program(grant numbers:17PJ1403000); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8784253","Centralized PEV charging;decentralized PEV var discharging;voltage unbalance and distribution network","Genetic algorithms;Reactive power;Optimization;Electric vehicle charging;Load flow;Plug-in electric vehicles","","29","","49","CCBY","1 Aug 2019","","","IEEE","IEEE Journals"
"Joint Optimization of EV Charging and Renewable Distributed Energy With Storage Systems Under Uncertainty","T. Alharbi; A. Abdalrahman; M. H. Mostafa; L. Alkhalifa","Department of Electrical Engineering, College of Engineering, Qassim University, Buraydah, Saudi Arabia; Independent Electricity System Operator, Toronto, ON, Canada; Electrical Engineering Department, Al Ryada University for Science and Technology, El Sadat City, Egypt; Department of Mathematics, College of Science, Qassim University, Buraydah, Saudi Arabia",IEEE Access,"6 May 2025","2025","13","","76838","76856","Electric Vehicles (EVs) are essential to achieving the 2030 United Nations Sustainable Development Goals by reducing emissions and improving air quality. The strategic placement of Electric Vehicle Charging Stations (EVCSs) in urban areas is critical to supporting the transition to clean transportation. However, as EV adoption increases, challenges such as rising power losses, voltage profile degradation, and voltage instability emerge within microgrids. These issues can be mitigated by integrating Energy Storage Systems (ESSs) to enhance efficiency. This study presents an integrated planning approach to optimize the allocation of EVCSs based on the spatial-temporal distribution of traffic flows. A stochastic model is also introduced to determine the optimal placement of the energy storage system, accounting for uncertainty factors such as fluctuating electrical loads and the intermittency of renewable energy sources. The energy storage system allocation model is formulated as a multi-objective optimization problem aimed at improving voltage profiles, minimizing power losses, and maximizing voltage stability. The mathematical models of EVCSs and ESSs, and an economic analysis of the microgrid is included, considering the costs associated with energy storage system integration. The proposed model’s effectiveness is validated through a case study on a benchmark transportation network, with results indicating its ability to mitigate the negative effects of EV integration on microgrids. Additionally, the study introduces a stochastic framework to simulate the inherent uncertainties in electrical loads and renewable energy sources.","2169-3536","","10.1109/ACCESS.2025.3562531","Qassim University; Deanship of Scientific Research, on the financial support for this research(grant numbers:2023-SDG-1-BSRC35732,1445 AH/ 2023 AD); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10969781","Charging infrastructure;charging station;clean energy;electric vehicle;mathematical modeling;optimal allocation;SDG;uncertainty;smart cities","Electric vehicle charging;Voltage;Optimization;Resource management;Costs;Electric vehicles;Distribution networks;Renewable energy sources;Energy storage;Energy loss","","4","","66","CCBY","18 Apr 2025","","","IEEE","IEEE Journals"
"ALADIN-Based Coordinated Operation of Power Distribution and Traffic Networks With Electric Vehicles","G. Sun; G. Li; S. Xia; M. Shahidehpour; X. Lu; K. W. Chan","State Key Laboratory of Alternate Electrical Power System with Renewable Energy Sources, North China Electric Power University, Beijing, China; State Key Laboratory of Alternate Electrical Power System with Renewable Energy Sources, North China Electric Power University, Beijing, China; State Key Laboratory of Alternate Electrical Power System with Renewable Energy Sources, North China Electric Power University, Beijing, China; Illinois Institute of Technology, Chicago, USA; Department of Electrical Engineering, The Hong Kong Polytechnic University, Hong Kong; Department of Electrical Engineering, The Hong Kong Polytechnic University, Hong Kong",IEEE Transactions on Industry Applications,"18 Sep 2020","2020","56","5","5944","5954","Electric vehicles (EVs) are recognized as a promising remedy for the environmental crisis and fuel shortage faced by modern metropolises. But meanwhile, with the popularization of EVs, the unordered charging of EVs will have negative impacts on both the power distribution network (DN) and the traffic network (TN). The well-scheduled EV charging/discharging behaviors could participate in the coordinated operation of TN and DN to significantly enhance the energy utilization efficiency of both networks. With an assumption that an entity like state grid capable of dispatching distributed generators and adjusting the charging prices of fast charging stations, a traffic-distribution coordination (TDC) model is proposed to minimize the travel cost of TN and the energy service cost of DN, which simultaneously considers the economic operation of DN by alternating current dynamic optimal power flow and the traffic flow assignment of TN by EVs dynamic user equilibrium, respectively. And afterward, the augmented Lagrangian alternating direction inexact Newton method is adopted to solve the TDC model. Finally, the necessity of the coordinated operation of TN and DN and the effectiveness of the TDC model are validated in an integrated system of modified Nguyen-Dupius TN and IEEE 33-bus DN.","1939-9367","","10.1109/TIA.2020.2990887","Smart Grid Joint Foundation Program of National Natural Science Foundation of China; State Grid Corporation of China(grant numbers:U1966204); Natural Science Foundation(grant numbers:BK20180284); Fundamental Research Funds for the Central Universities(grant numbers:2019MS007); China National Study Foundation(grant numbers:201906735013); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9079677","Alternating current dynamic optimal power flow;augmented Lagrangian alternating direction inexact Newton (ALADIN);dynamic user equilibrium (DUE);traffic-distribution coordination (TDC) with electric vehicles (EVs)","Load flow;Electric vehicle charging;Vehicle dynamics;Power system dynamics;Optimization","","58","","37","IEEE","27 Apr 2020","","","IEEE","IEEE Journals"
"Distributed Coordination of Charging Stations Considering Aggregate EV Power Flexibility","D. Yan; C. Ma; Y. Chen","Department of Mechanical and Automation Engineering, The Chinese University of Hong Kong, HKSAR, China; University of Michigan-Shanghai Jiao Tong University Joint Institute, Shanghai Jiao Tong University, Shanghai, China; Department of Mechanical and Automation Engineering, The Chinese University of Hong Kong, HKSAR, China",IEEE Transactions on Sustainable Energy,"20 Dec 2022","2023","14","1","356","370","In recent years, electric vehicle (EV) charging stations have witnessed rapid growth. However, effective management of charging stations is challenging due to individual EV owners' privacy concerns, competing interests of different stations, and the coupling distribution network constraints. To cope with this challenge, this paper proposes a two-stage scheme. In the first stage, the aggregate EV power flexibility region is derived by solving an optimization problem. We prove that any trajectory within the obtained region corresponds to at least one feasible EV dispatch strategy. By submitting this flexibility region instead of the detailed EV data to the charging station operator, EV owners' privacy can be preserved and the computational burden can be reduced. In the second stage, a distributed coordination mechanism with a clear physical interpretation is developed considering the AC power flow based network constraints. We prove that the proposed mechanism converges to the centralized optimum. Case studies validate the theoretical results. Comprehensive performance comparisons are carried out to demonstrate the advantages of the proposed scheme.","1949-3037","","10.1109/TSTE.2022.3213173","Chinese University of Hong Kong Direct Grant for Research(grant numbers:4055169); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9914677","Charging station;aggregate flexibility;coordination mechanism;electric vehicle;AC power flow","Charging stations;Electric vehicle charging;Aggregates;Costs;Batteries;State of charge;Privacy","","62","","38","IEEE","10 Oct 2022","","","IEEE","IEEE Journals"
"Mitigating Voltage Problem in Distribution System With Distributed Solar Generation Using Electric Vehicles","L. Cheng; Y. Chang; R. Huang","State Key Laboratory of Power Systems, Department of Electrical Engineering, Tsinghua University, Beijing, China; State Key Laboratory of Power Systems, Department of Electrical Engineering, Tsinghua University, Beijing, China; Beijing Electric Power Company, State Grid of China, Beijing, China",IEEE Transactions on Sustainable Energy,"20 May 2017","2015","6","4","1475","1484","Distributed solar generation has the potential to reach high penetration levels in distribution systems. However, its integration reshapes distribution system power flows and causes rapid-fluctuations in system statuses. The facts challenge major voltage management approaches, nowadays, such as using online load tap changing (OLTC) transformers, voltage regulators (VRs), or shunt capacitors. In this paper, we explore the capability of using vehicle-to-grid (V2G) electric vehicles (EVs) to join distribution system voltage management, and to collaborate with OLTCs to mitigate the voltage problems caused by distribution solar generations. A two-stage control method is proposed for this purpose. The first stage controls the making of rolling schedules for EV charging and OLTC tap positions, while the second controls the EVs to resist the solar generation fluctuation to maintain voltage profiles. A case system with simultaneous overvoltage/undervoltage risks is designed to test the effectiveness of the proposed method. The results demonstrate that both the over/undervoltage risks are mitigated.","1949-3037","","10.1109/TSTE.2015.2444390","State Grid Corporation of China, National High-Technology Research and Development Program (863 Program) of China(grant numbers:2014AA051901); Chinese National Natural Science Funds(grant numbers:51177078); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7164328","Electric vehicles (EVs);optimal power flow;positive semidefinite programming;voltage regulation;Electric vehicles (EVs);optimal power flow;positive semidefinite programming;voltage regulation","Voltage control;Charging stations;Load flow;Solar power generation;Mathematical model;Electric vehicles","","170","","17","IEEE","22 Jul 2015","","","IEEE","IEEE Journals"
"Expansion Planning of Urban Electrified Transportation Networks: A Mixed-Integer Convex Programming Approach","W. Wei; L. Wu; J. Wang; S. Mei","State Key Laboratory of Power Systems, Tsinghua University, Beijing, China; Department of Electrical and Computer Engineering, Clarkson University, Potsdam, NY, USA; Computation Institute, The University of Chicago, Chicago, IL, USA; State Key Laboratory of Power Systems, Tsinghua University, Beijing, China",IEEE Transactions on Transportation Electrification,"20 May 2017","2017","3","1","210","224","Electric vehicles (EVs) have been widely acknowledged as one effective solution to alleviate the fossil fuel shortage and environmental pressure in modern metropolises. To foster the large-scale integration of EVs, transportation electrification is becoming an emerging trend. This paper proposes a comprehensive model for the expansion planning of urban electrified transportation networks (ETNs), which determines the best investment strategies for the TN and the power distribution network (PDN) simultaneously, including the sites and sizes of new lanes, charging facilities, distribution lines, and local generators. The steady-state distribution of traffic flow in the TN is characterized by the Nesterov user equilibrium (NUE). The operating condition of the PDN is described by linearized branch power flow equations. To consider the interdependency between the TN and PDN created by the charging behavior of EVs, the power demand of on-road charging facility is assumed to be proportional to the traffic flow it carries. The expansion planning model is formulated as a mixed-integer nonlinear program with NUE constraints. In order to retrieve a global optimal solution, it is further transformed into an equivalent mixedinteger convex program through duality theory and techniques of integer algebra; no approximation error is involved. Case studies on a test ETN corroborate the proposed model and method.","2332-7782","","10.1109/TTE.2017.2651071","Foundation for Innovative Research Groups of the National Natural Science Foundation of China(grant numbers:51621065); National Natural Science Foundation of China(grant numbers:51577163); Natural Science Foundation(grant numbers:1638348); U.S. Department of Energy Office of Electricity Delivery and Energy Reliability; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7812564","Electric vehicle (EV);electrified transportation network (ETN);expansion planning;interdependency;Nesterov user equilibrium (NUE);power distribution network (PDN)","Planning;Roads;Load flow;Charging stations;Vehicles","","101","","49","IEEE","10 Jan 2017","","","IEEE","IEEE Journals"
"Impacts of Distribution-Level Joint Scheduling of Electric Vehicle Battery Charging and Swapping Stations on Reliability Improvement","A. K. Aktar; A. Taşcıkaraoğlu; O. Erdinç; S. Güner","Muğla Sıtkı Koçman University, Muğla, Türkiye; Muğla Sıtkı Koçman University, Muğla, Türkiye; Yıldız Technical University, Istanbul, Türkiye; Eskisehir Technical University, Eskişehir, Türkiye",IEEE Transactions on Industry Applications,"19 Sep 2024","2024","60","5","7844","7857","Recently, the rapid growth in electric vehicle (EV) sales and usage has brought significant attention to the required infrastructure, including EV charging stations, grid integration, maintenance facilities, and the supply chain for mechanical and electrical spare parts. Particularly in the electric grid where active power flow is managed with a delicate balance, the emergence of the management methods that provide EV users with a more convenient charging experience is highly regarded. This study explores the synchronized utilization of a Battery Charging Station (BCS) and Battery Swapping Station (BSS) through vehicle-to-grid (V2G), battery-to-grid (B2G), and swapping operations. The aim is to enhance the service quality for EV users and provide grid support during the peak energy demand periods. The performance of the devised constrained optimization algorithm is assessed across scenarios that involve a range of service and pricing options. The outputs reveal that the collaborative utilization of BCS and BSS offers advantages in terms of both economics and operations management. The analysis of different scenarios reveals that the designed algorithm results in a 42.1% cost-efficient operation when prioritizing economic benefits and a 37.4% increase in service provision when prioritizing more extensive service to EVs. Besides, compared to the base case, there is a substantial improvement in system reliability indices, ranging between 47% and 56%, along with load point indices reaching a significant enhancement of up to 68%.","1939-9367","","10.1109/TIA.2024.3416093","Türkiye Bilimler Akademisi; Distinguished Young Scientist Award; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10561522","Battery swapping station;electric vehicle;energy storage;smart grid;vehicle-to-grid","Batteries;Charging stations;Electric vehicle charging;Costs;Vehicle-to-grid;Reactive power;Discharges (electric)","","16","","46","IEEE","18 Jun 2024","","","IEEE","IEEE Journals"
"Collaborative EV Routing and Charging Scheduling With Power Distribution and Traffic Networks Interaction","J. Liu; G. Lin; S. Huang; Y. Zhou; C. Rehtanz; Y. Li","Institute of Energy Systems, Energy Efficiency and Energy Economics, TU Dortmund University, Dortmund, Germany; Institute of Energy Systems, Energy Efficiency and Energy Economics, TU Dortmund University, Dortmund, Germany; School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University, Shanghai, China; Institute of Energy Systems, Energy Efficiency and Energy Economics, TU Dortmund University, Dortmund, Germany; Institute of Energy Systems, Energy Efficiency and Energy Economics, TU Dortmund University, Dortmund, Germany; College of Electrical and Information Engineering, Hunan University, Changsha, China",IEEE Transactions on Power Systems,"18 Aug 2022","2022","37","5","3923","3936","The increasing of electric vehicles (EVs) alleviates the faced environmental problems but brings challenges to the optimal operation of transportation network (TN) and distribution network (DN). However, the most of existing research works consider EV charging station assignment and navigation services in the TN separately from charging station power scheduling services in the DN. To overcome this research gap, this paper proposes a collaborative optimal routing and scheduling (CORS) method, providing optimal route to charging stations and designing optimized charging scheduling schemes for each EV. In the order of reporting, whenever an EV reports its charging demand, a CORS optimization model is built and solved so that a specific charging scheme is designed for that EV. Then, the TN and DN status is updated to guide the subsequent EVs operating. The proposed CORS integrates the real-time state of the TN and DN, and effects positive benefits in helping EVs to avoid traffic congestion, improving the utilization level of charging facilities and enhancing charging economy. The combined distributed biased min consensus algorithm and generalized benders decomposition algorithm are adopted to solve the complex nonlinear optimization problem. Through comparing with the existing methods, better effectiveness is verified by simulation results.","1558-0679","","10.1109/TPWRS.2022.3142256","German Federal Ministry of Education and Research(grant numbers:03EK3057A); “111” Project of China(grant numbers:B17016); China Scholarship Council(grant numbers:201806130201); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9684716","Electric vehicle;charging scheduling;route navigation;transportation network;distribution network","Charging stations;Optimization;Costs;Electric vehicle charging;Routing;Navigation;Job shop scheduling","","94","","40","IEEE","18 Jan 2022","","","IEEE","IEEE Journals"
"Real-Time Congestion-Aware Charging Station Assignment Model for EVs","O. Gul M. Khan; F. Elghitani; A. Youssef; M. Salama; E. F. El-Saadany","Electrical and Computer Engineering Department, University of Waterloo, Waterloo, Canada; Network Planning Department, National Telecommunication Institute, Cairo, Egypt; Concordia Institute for Information Systems Engineering, Concordia University, Montreal, Canada; Electrical and Computer Engineering Department, University of Waterloo, Waterloo, Canada; EECS Department, Advanced Power and Energy Center, Khalifa University, Abu Dhabi, UAE",IEEE Internet of Things Journal,"27 Mar 2024","2024","11","7","11723","11736","The electrification of the transportation system is double-edged for the smart grid. Although it is green and eco-friendly, uncontrolled charging of electric vehicles (EVs) could cause not only distribution network congestion but also long queues at the charging stations. Hence, it is necessary to ensure existing charging resources are efficiently utilized. The main objective of this article is to develop an algorithm that assigns EVs to charge stations such that distribution network congestion and time spent by the user from requesting a charging service to accessing it is minimized. The Lyapunov function is utilized for developing an EV assignment algorithm to manage a dynamic population of EVs ensuring queuing stability. Moreover, as the EV assignment algorithm relies on the communication network, an intrusion cyber-attack can occur resulting in an unstable queuing system. An intrusion detection technique is, hence, proposed which utilizes existing transportation network sensor data with the EV charging stations operator information to detect such attacks. A case study using the IEEE 69 bus system is then developed to test the proposed framework.","2327-4662","","10.1109/JIOT.2023.3331600","ASPIRE, the Technology Program Management Pillar of Abu Dhabi’s Advanced Technology Research Council (ATRC), through the ASPIRE Virtual Research Institute (VRI)(grant numbers:VRI20-07); OGS, Canada; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10314437","Congestion management;electric vehicles (EVs);EV assignment;queuing state","Charging stations;Transportation;Distribution networks;Costs;Batteries;Power system stability;Electric vehicle charging","","5","","35","IEEE","9 Nov 2023","","","IEEE","IEEE Journals"
"Joint Expansion Planning Studies of EV Parking Lots Placement and Distribution Network","M. Mozaffari; H. Askarian Abyaneh; M. Jooshaki; M. Moeini-Aghtaie","Department of Electrical Engineering, Amirkabir University of Technology, Tehran, Iran; Department of Electrical Engineering, Amirkabir University of Technology, Tehran, Iran; Department of Electrical Engineering, Sharif University of Technology, Tehran, Iran; Department of Energy Engineering, Sharif University of Technology, Tehran, Iran",IEEE Transactions on Industrial Informatics,"30 Jun 2020","2020","16","10","6455","6465","Long-term distribution network planning (DNP) is considered as one of the most challenging issues for distribution network operators (DNOs). By increasing EVs in cities, it has appeared some new players such as electric vehicles (EVs) owners and electric vehicle parking lots (EVPLs) owners for DNP. In this article, we conduct a new study on the coupled dynamic expansion problem of EVPLs placement and distribution networks. To reach this goal, at first, EVs driving and charging/discharging behavior as some influential factors is modeled using an efficient probabilistic algorithm. An analytical model is then introduced to estimate the number of EVs in EVPLs at different times. To find out the optimal place for installing EVPLs and distribution network reinforcement, a multiobjective (MO) optimization model is formulated considering the main requirements of EVs users, EVPLs owners, and distribution system operators. A linear model is also derived for the energy monument of EVs in EVPLs and residential charging stations to be used in the mentioned MO expansion problem. Numerical results with various cases are presented to illustrate the main advantages of the proposed coupled expansion model. The simulation results indicate increasing the percentage of participated EVs in V2G leads to reduce the DNO costs and increase the EVPLs' revenues. Moreover, the year of feeder reinforcement will be deferred by considering V2G mode and battery degradation.","1941-0050","","10.1109/TII.2020.2964049","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8950236","Distribution network (DN);dynamic expansion planning;electric vehicle parking lot (EVPL);V2G;battery degradation","Planning;State of charge;Distribution networks;Substations;Batteries;Indexes;Mathematical model","","51","","23","IEEE","6 Jan 2020","","","IEEE","IEEE Journals"
"Bilayer Multi-Objective Optimal Allocation and Sizing of Electric Vehicle Parking Garage","S. Faddel; A. T. Elsayed; O. A. Mohammed","Energy System Research Laboratory, Electrical and Computer Engineering Department, Florida International University, Miami, FL, USA; Energy System Research Laboratory, Electrical and Computer Engineering Department, Florida International University, Miami, FL, USA; Energy System Research Laboratory, Electrical and Computer Engineering Department, Florida International University, Miami, FL, USA",IEEE Transactions on Industry Applications,"18 May 2018","2018","54","3","1992","2001","The anticipated increase in electric vehicles (EVs) adoption necessitates the need for electrified transportation infrastructure to charge these vehicles. Although the EV parking garage can represent a good investment opportunity, it brings more challenges to the distribution system operator. Therefore, the allocation and sizing of the parking garage should be carefully planned. The planning process should take into consideration the economic aspects of the investor, as well as the technical aspects of the distribution system. In this paper, a bilayer Pareto multiobjective optimization problem is formulated to optimally allocate and size an EV parking garage. The optimization formulation tries to maximize the profits of the EV parking garage investor, as well as minimize the losses and voltage deviations for the distribution system operator. Dealing with these contradicting objectives simultaneously will results in a set of Pareto solutions. The results showed the different tradeoffs that might be induced while dealing with these contradictory objectives. A decision-making criterion based on statistics was used to decide on the optimal location and size of the parking garage. Sensitivity analysis to show the effect of the different objectives on the selection of the optimal size and location was also performed.","1939-9367","","10.1109/TIA.2018.2803151","Naval Research and the U.S. Department of Energy; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8283782","Electric vehicles (EVs);multiobjective;Pareto optimization;parking garages","Resource management;Optimization;Indexes;Electric vehicles;Charging stations;Energy storage;Planning","","31","","27","IEEE","7 Feb 2018","","","IEEE","IEEE Journals"
"A Second-Order Cone Programming Model for Planning PEV Fast-Charging Stations","H. Zhang; S. J. Moura; Z. Hu; W. Qi; Y. Song","Department of Electrical Engineering, Tsinghua University, Beijing, China; Smart Grid and Renewable Energy Laboratory, Tsinghua-Berkeley Shenzhen Institute, Shenzhen, China; Department of Electrical Engineering, Tsinghua University, Beijing, China; Desautels Faculty of Management, McGill University, Montreal, QC, Canada; Department of Electrical Engineering, Tsinghua University, Beijing, China",IEEE Transactions on Power Systems,"17 Apr 2018","2018","33","3","2763","2777","This paper studies siting and sizing of plug-in electric vehicle (PEV) fast-charging stations on coupled transportation and power networks. We develop a closed-form model for PEV fast-charging stations' service abilities, which considers heterogeneous PEV driving ranges and charging demands. We utilize a modified capacitated flow refueling location model based on subpaths (CFRLM_SP) to explicitly capture time-varying PEV charging demands on the transportation network under driving range constraints. We explore extra constraints of the CFRLM_SP to enhance model accuracy and computational efficiency. We then propose a stochastic mixed-integer second-order cone programming model for PEV fast-charging station planning. The model considers the transportation network constraints of CFRLM_SP and the power network constraints with ac power flow. Numerical experiments are conducted to illustrate the effectiveness of the proposed method.","1558-0679","","10.1109/TPWRS.2017.2754940","National Key Research and Development Program(grant numbers:2016YFB0900103); National Natural Science Foundation of China(grant numbers:51477082); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8047328","Plug-in electric vehicle;charging station;planning;heterogeneous driving ranges;transportation;power system;second order cone programming","Charging stations;Planning;Couplings;Electric vehicles;Computational modeling;Investment","","135","","47","IEEE","20 Sep 2017","","","IEEE","IEEE Journals"
