"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Funding Texts","Document Type","Publication Stage","Open Access","Source","EID"
"Torabi, R.; Gomes, Á.; Morgado-Dias, F.","Torabi, Roham (56469397200); Gomes, Álvaro Peixoto Filipe (56208472900); Morgado-Dias, Fernando (59157708300)","56469397200; 56208472900; 59157708300","Electricity, Transportation, and Water Provision of 100% Renewable Energy for Remote Areas","2023","Energies","16","10","4146","","","5","10.3390/en16104146","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160606092&doi=10.3390%2Fen16104146&partnerID=40&md5=c21861d05b8e8576153b1008631cf1d9","The integration of variable renewable energy sources in islands has become crucial in reducing their dependency on imported fossil fuels. This study aimed to assess the energy transition of an island towards a 100% renewable energy system for power generation, inland transport, and potable water provision. Linking various fossil-fuel-consuming sectors, such as transport and potable water supply systems, may strongly assist in reducing the possible mismatch between renewable energy source production and demand and contribute to fulfilling other system requirements. The use of energy storage technologies is vital and unlike traditional power systems; as the number of components in the system increases, their proper capacity needs to be accurately determined. This work employs a multi-objective optimization assessment using a modified NSGA-II algorithm to depict the energy transition for Porto Santo Island. To evaluate the solutions, we considered the main criteria of energy cost, avoided environmental impacts (CO<inf>2</inf>-equivalent emissions) of the proposed system, and loss of power supply. The Pareto front contains various solutions under different system configurations. Results indicate that full inland transport electrification (introducing 3000 EVs) can account for 18% of the avoided CO<inf>2</inf> emissions of the island while sharing 28–40% of the up-front cost of the system, depending on the proposed system’s components. The EV’s costs incorporate subsidies and their battery replacement. Another interesting finding from the optimization process is that the solution with the highest avoided CO<inf>2</inf> emissions involves keeping a diesel generator for supplying 4% of the island’s total demand and using an underwater compressed air energy storage with a capacity of 280 MWh. This suggests that adding more installed wind turbines or PV panels may not necessarily contribute to reducing the emissions of the entire system. © 2023 by the authors.","heuristic algorithm; hybrid RES; isolated systems; sizing","Carbon dioxide; Compressed air; Electric energy storage; Electric power systems; Environmental impact; Heuristic algorithms; Multiobjective optimization; Potable water; Power generation; Renewable energy resources; Water supply; CO 2 emission; Energy transitions; Heuristics algorithm; Hybrid RES; Isolated systems; Remote areas; Renewable energies; Renewable energy source; Sizing; Water provision; Fossil fuels","This research was funded by the following institutions and projects: ARDITI—Agência Regional para o Desenvolvimento da Investigação, Tecnologia e Inovação under the scope of the Project M1420-09-5369-FSE-000001—PhD Studentship; the Portuguese Foundation for Science and Technology through Projeto Estratégico LA 9—UID/EEA/50009/2019; and the Project MITI Excell co-financed by Regional Development European Funds, for the Operational Program ‘Madeira 14-20’—EIXO PRIORITÁRIO 1, of Região Autónoma da Madeira, with no. M1420-01-0145-FEDER-000002. The second author also was supported by the European Regional Development Fund in the framework of the COMPETE 2020 Program through project UIDB/MULTI/00308/2020.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85160606092"
"Mercier, V.; Ceschia, A.; Azib, T.; Larouci, C.","Mercier, Victor (58295436500); Ceschia, Adriano (57193644316); Azib, Toufik (35195362900); Larouci, Cherif (6602527273)","58295436500; 57193644316; 35195362900; 6602527273","Pre-Sizing Approach of a Fuel Cell-Battery Hybrid Power System with Interleaved Converters","2023","Energies","16","10","4068","","","2","10.3390/en16104068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160603678&doi=10.3390%2Fen16104068&partnerID=40&md5=e469edbbf3b6695a166554e7befa794d","This paper proposes a design methodology that is dedicated to improving the concept of a modular hybrid power chain that uses interleaved converters. The approach involves optimising the system under multi-physical constraints, where the number of cells in the interleaved converters is considered as a key modular parameter. The methodology uses analytical models to strike a balance between computation time and result accuracy. This compromise is indispensable to the construction of a smart design approach under multi-physical constraints, such as electric, efficiency, volume, and thermal constraints. The proposed approach has been applied to a hybrid fuel cell and battery power system for automotive applications; the goal is to obtain a global optimal architecture chain by optimising the number of interleaved converter cells and by determining appropriate power electronics components and the optimal sizing of sources. This constitutes the primary step for providing an effective pre-design support tool for considering architecture modularity, facilitating the use of new technologies in the early design stage. The results showed that the interleaving concept allows for better flexibility in respecting the design constraints to improve the design of hybrid power systems. The analysis also highlights the current limitations and performance of the optimisation method and suggests new areas for future work. © 2023 by the authors.","conception approach; fuel cell electric vehicle; interleaved converters; modular architecture; multi-physical optimisation","Secondary batteries; Conception approach; Fuel cell electric vehicle; Hybrid power; Interleaved converters; Modular architectures; Modulars; Multi-physical optimization; Optimisations; Physical constraints; Pre-sizing; Fuel cells","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85160603678"
"Memon, Z.A.; Mat Said, D.M.; Hassan, M.Y.; Munir, H.M.; Alsaif, F.; Alsulamy, S.","Memon, Zeeshan Anjum (57202833185); Mat Said, Dalila Mat (57195629038); Hassan, Mohammad Yusri (55322556200); Munir, Hafiz Mudassir (57201985638); Alsaif, Faisal Khalid (58107460300); Alsulamy, Sager (57678602800)","57202833185; 57195629038; 55322556200; 57201985638; 58107460300; 57678602800","Effective Deterministic Methodology for Enhanced Distribution Network Performance and Plug-in Electric Vehicles","2023","Sustainability (Switzerland)","15","9","7078","","","6","10.3390/su15097078","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159594582&doi=10.3390%2Fsu15097078&partnerID=40&md5=d86abb942520d26a6fe4a0addd40a13a","The rapid depletion of fossil fuel motivates researchers and policymakers to switch from the internal combustion engine (ICE) to plug-in electric vehicles (PEVs). However, the electric power distribution networks are congested, which lowers the accommodation of PEVs and produces higher power losses. Therefore, the study proposes an effective deterministic methodology to maximize the accommodation of PEVs and percentage power loss reduction (%PLR) in radial distribution networks (RDNs). In the first stage, the PEVs are allocated to the best bus, which is chosen based on the loading capacity to power loss index (LCPLI), and the accommodation profile of PEVs is developed based on varying states of charge (SoC) and battery capacities (BCs). In the second stage, the power losses are minimized in PEV integrated networks with the allocation of DG units using a recently developed parallel-operated arithmetic optimization algorithm salp swarm algorithm (AOASSA). In the third stage, the charging and discharging ratios of PEVs are optimized analytically to minimize power losses after planning PEVs and DGs. The outcomes reveal that bus-2 is the most optimal bus for accommodation of PEVs, as it has the highest level of LCPLI, which is 9.81 in the 33-bus system and 28.24 in the 69-bus system. The optimal bus can safely accommodate the largest number of electric vehicles, with a capacity of 31,988 units in the 33-bus system and 92,519 units in the 69-bus system. Additionally, the parallel-operated AOASSA mechanism leads to a reduction in power losses of at least 0.09% and 0.25% compared with other algorithms that have been previously applied to the 33-bus and 69-bus systems, respectively. Moreover, with an optimal charging and discharging ratio of PEVs in the IEEE-33-bus radial distribution network (RDN), the %PLR further improved by 3.08%, 4.19%, and 2.29% in the presence of the optimal allocation of one, two and three DG units, respectively. In the IEEE-69-bus RDN, the %PLR further improved by 0.09%, 0.09%, and 0.08% with optimal charge and discharge ratios in the presence of one, two, and three DG units, respectively. The proposed study intends to help the local power distribution companies to maximize accommodation of PEV units and minimize power losses in RDNs. © 2023 by the authors.","AOASSA; loading capacity to power loss index (LCPLI); plug-in electric vehicle; power loss","algorithm; electric vehicle; fossil fuel; methodology; optimization; performance assessment","This work was supported by the Researchers Supporting Project number (RSPD2023R646), King Saud University, Riyadh, Saudi Arabia. In addition, the authors would also like to acknowledge the Centre of Electrical Energy Systems (CEES), Universiti Teknologi Malaysia (UTM), Malaysia, Mehran University of Engineering & Technology (MUET), Pakistan, and the Higher Education Commission (HEC), Pakistan, for their unlimited support.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85159594582"
"Huzaifa, M.; Hussain, A.; Haider, W.; Kazmi, S.A.A.; Ahmed, U.; Rehman, H.U.","Huzaifa, Muhammad (57160355200); Hussain, Arif (57212425818); Haider, Waseem (57221722320); Kazmi, Syed Ali Abbas (56465543800); Ahmed, Usman (26654729100); Rehman, Habib Ur (59820231400)","57160355200; 57212425818; 57221722320; 56465543800; 26654729100; 59820231400","Optimal Planning Approaches under Various Seasonal Variations across an Active Distribution Grid Encapsulating Large-Scale Electrical Vehicle Fleets and Renewable Generation","2023","Sustainability (Switzerland)","15","9","7499","","","9","10.3390/su15097499","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159376712&doi=10.3390%2Fsu15097499&partnerID=40&md5=bcf0257950b41abfdda8fb67ef630979","With the emergence of the smart grid, the distribution network is facing various problems, such as power limitations, voltage uncertainty, and many others. Apart from the power sector, the growth of electric vehicles (EVs) is leading to a rising power demand. These problems can potentially lead to blackouts. This paper presents three meta-heuristic techniques: grey wolf optimization (GWO), whale optimization algorithm (WOA), and dandelion optimizer (DO) for optimal allocation (sitting and sizing) of solar photovoltaic (SPV), wind turbine generation (WTG), and electric vehicle charging stations (EVCSs). The aim of implementing these techniques is to optimize allocation of renewable energy distributed generation (RE-DG) for reducing active power losses, reactive power losses, and total voltage deviation, and to improve the voltage stability index in radial distribution networks (RDNs). MATLAB 2022a was used for the simulation of meta-heuristic techniques. The proposed techniques were implemented on IEEE 33-bus RDN for optimal allocation of RE-DGs and EVCSs while considering seasonal variations and uncertainty modeling. The results validate the efficiency of meta-heuristic techniques with a substantial reduction in active power loss, reactive power loss, and an improvement in the voltage profile with optimal allocation across all considered scenarios. © 2023 by the authors.","dandelion optimizer; distribution generation; electrical vehicle charging stations; grey wolf optimization; seasonal variations; solar photovoltaic; uncertainty modeling; whale optimization algorithm; wind turbine generation","algorithm; alternative energy; electric vehicle; optimization; planning practice; seasonal variation; simulation; solar power; uncertainty analysis; wind turbine","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85159376712"
"Pal, A.; Bhattacharya, A.; Chakraborty, A.K.","Pal, Arnab (57211532292); Bhattacharya, Aniruddha (59760628000); Chakraborty, Ajoy Kumar (7201865199)","57211532292; 59760628000; 7201865199","Planning of EV Charging Station With Distribution Network Expansion Considering Traffic Congestion and Uncertainties","2023","IEEE Transactions on Industry Applications","59","3","","3810","3825","73","10.1109/TIA.2023.3237650","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147282813&doi=10.1109%2FTIA.2023.3237650&partnerID=40&md5=bd69a5923fdb3a35b128f7972466489c","Proper planning for electric vehicle (EV) charging stations along with the required expansion of the distribution network is essential for the continuous growth of EV and conventional loads. This paper proposes a realistic and sustainable solution for deciding the location and capacity of the EV fast-charging stations along with the optimal multistage expansion of the distribution network to cope with future load growth. An overlaid traffic network with a distribution network is taken for the realistic approach. EV user convenience factor and user happiness factor are proposed along with the distribution network energy loss for better planning of fast-charging stations. To get charged, the appropriate fast-charging station and its best route are decided through minimum energy consumption by the EVs, considering traffic congestion and distances. Up-gradation of lines, up-gradation of the substation, addition of new fast-charging station, allocation of DSTATCOM and allocation of renewable-based distributed generation are performed for distribution network expansion planning. The whole work is formulated in three layers with a sub-layer. Uncertainties of EV driving patterns, energy requirement, traffic congestion, load and renewable generation are undertaken by the 2m point estimation method. The solution is carried out along with validation using different metaheuristic methods and integer linear programming. © 1972-2012 IEEE.","Distribution network; electric vehicle charging station; expansion planning; optimal allocation; uncertainty","Charging (batteries); Electric loads; Electric substations; Electric vehicles; Energy dissipation; Energy utilization; Integer programming; Charging station; Electric vehicle charging; Electric vehicle charging station; Expansion planning; Fast charging stations; Index; Optimal allocation; Resource management; Uncertainty; Traffic congestion","","Article","Final","","Scopus","2-s2.0-85147282813"
"Feng, J.; Hu, Z.; Duan, X.","Feng, Jianzhou (57423974200); Hu, Zechun (7404210251); Duan, Xiaoyu (57200190702)","57423974200; 7404210251; 57200190702","EV Fast Charging Station Planning Considering Competition Based on Stochastic Dynamic Equilibrium","2023","IEEE Transactions on Industry Applications","59","3","","3795","3809","33","10.1109/TIA.2023.3235343","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147203081&doi=10.1109%2FTIA.2023.3235343&partnerID=40&md5=3fdb8d3dafae01abafac303e1a6bcf76","The rapid growth of electric vehicles (EVs) and the deployment of fast charging infrastructures bring considerable impacts on the planning and operation of power systems. Integrating photovoltaic (PV) and energy storage system (ESS) with fast charging station (FCS) can alleviate the negative impacts and bring benefits to both power system operation and charging service provider. In this paper, an integrated procedure is proposed for the charging service provider to optimally plan fast charging stations integrated with PV and ESS in urban area, while taking the influence of its competitors, EV users' decision-making psychology, the uncertainties of charging demand and PV power output into consideration. Firstly, a charging demand estimation method based on average travel speed is presented. Secondly, a stochastic dynamic user choice equilibrium (SDUCE) model and its solution algorithm based on method of successive averages (MSA) are proposed. The model considers the key factors influencing the charging decision of EV users as well as the uncertainty of their perceptions of utility values. In addition, the time-varying queuing time and the temporal coupling among EVs arriving at a charging station in different time periods are also considered. Thirdly, based on the equilibrium model, a multi-scenario benefit maximization model is built from the perspective of charging service provider, and solved by genetic algorithm. Finally, a distributionally robust optimization (DRO) planning model based on the Wasserstein-metric is formulated to determine the capacities of PV and ESS. The proposed planning method is tested using real traffic data of Shenzhen City. Simulation results verify the effectiveness of the proposed method. © 1972-2012 IEEE.","Charging station planning; distributionally robust optimization; ESS; PV; stochastic dynamic equilibrium","Charging (batteries); Decision making; Digital storage; Electric power system planning; Energy storage; Genetic algorithms; Stochastic models; Stochastic systems; Urban planning; Charging station; Charging station planning; Distributionally robust optimization; Dynamic equilibrium; Energy storage system; Optimisations; Photovoltaics; Power system dynamics; Robust optimization; Stochastic dynamic equilibrium; Stochastic dynamics; Storage systems; Vehicle's dynamics; Random processes","","Article","Final","","Scopus","2-s2.0-85147203081"
"Asna, M.; Hussain, H.; Prasanthi, A.","Asna, Madathodika (57205337540); Hussain, Shareef (59793362700); Prasanthi, Achikkulath (57215358855)","57205337540; 59793362700; 57215358855","Planning of fast charging stations with consideration of EV user, distribution network and station operation","2023","Energy Reports","9","","","455","462","32","10.1016/j.egyr.2023.01.063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146582885&doi=10.1016%2Fj.egyr.2023.01.063&partnerID=40&md5=3631bf5b54699faa61319ba04b6f1c5d","Despite the benefits of electric vehicles (EV) as a sustainable alternative to fossil fuel-powered vehicles, the lack of suitable fast charging stations (FCS) continues to be a barrier to widespread EV adoption. Different factors affecting EV user, distribution network and CS operation must be taken into account when selecting CS locations and capacity. The purpose of this study is to design a FCS location and capacity planning framework that considers EV user travel time and waiting time, distribution network power loss, and station utilization aspects. Besides, a prior utilization rate-based queuing algorithm is proposed to determine the CS capacity, which simultaneously reduce user waiting time and affirms adequate station utilization. Then binary atom search optimization algorithm is employed to solve the FCS location and capacity problem. The proposed model is tested on an integrated transportation network and distribution network and the numerical results are provided and analysed from the perspectives of the distribution network, EV user, and CS operation. © 2023 The Author(s)","Atom search optimization; Fast charging station; Grid safety; Location and capacity; Station utilization","Charging (batteries); Electric power distribution; Fossil fuels; Travel time; Atom search optimization; Charging station locations; Distribution network operation; Fast charging stations; Grid safety; Location and capacity; Search optimization; Station operations; Station utilization; Vehicle users; Location","This work was supported by the Roadway, Transportation and Traffic Safety Research Center (RTTSRC) at UAE University [fund code 31R224-RTTSC(1)-2019].","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85146582885"
"Gong, C.; Yao, Z.; Chen, H.; Huang, D.; Wang, X.; Wang, Z.; Shi, S.","Gong, Chunyang (57225685428); Yao, Zhili (57212172082); Chen, Hui (57189893488); Huang, Dongmei (16303959000); Wang, Xiaoliang (57745773000); Wang, Zhixin (55719625500); Shi, Shuai (57202971658)","57225685428; 57212172082; 57189893488; 16303959000; 57745773000; 55719625500; 57202971658","An optimal coordinated planning strategy for distributed energy station based on characteristics of electric vehicle charging behavior under carbon trading mechanism","2023","International Journal of Electrical Power and Energy Systems","147","","108884","","","24","10.1016/j.ijepes.2022.108884","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144340555&doi=10.1016%2Fj.ijepes.2022.108884&partnerID=40&md5=8c672bd2f5be937addd277f0ebfa059a","Under the dual-carbon goal, the number of electric vehicle (EV) has surged, and the uncertainty of the temporal and spatial characteristics of the load has become prominent, which brings the challenge for higher requirements to the equipment composition of distributed energy station (DES) and performance of station-network. This paper proposes a collaborative planning method for low-carbon DES with networks, which is focusing on the characteristics of EV charging behavior. First of all, based on the quantitative analysis of the temporal and spatial distribution of charging load of four typical types of EV, including private vehicle, public vehicle, taxi and bus, the Monte Carlo method is used to construct the charging load modeling of EV in the region area. In addition, the low-carbon DES is modeled equipped with photovoltaic (PV) and power to gas (P2G) devices, and the Prim algorithm is adopted to search for the optimal network layout of energy transmission pipelines in the region area. Under carbon trading mechanism, aiming at the lowest annualized total cost of the regional station-network, a station-network collaborative planning modeling strategy for the capacity allocation of low-carbon DES with networks is established. Finally, the case study for a project in Beijing China is implemented on MATLAB, to prove the effectiveness of the method proposed in the paper. The time-of-use electricity price scheme changes the temporal and spatial characteristics of EV load. For example, more than 2 MW the EV load can be brought into the valley price range, which reduces the carbon transaction cost and energy purchase cost of DES by 50 thousand yuan almost when peak-valley electricity price difference is close to 1.2 yuan. At the same time, the growth of EV charging load(the penetration rate of EV can reach up to 20%) in the planning area has not increased the investment and operation-maintenance costs of DES equipment. © 2022 Elsevier Ltd","Carbon transaction cost; EV charging behavior; Low-carbon DES; Optimal collaborative planning strategy of station-network","Charging (batteries); Costs; Electric loads; Electric power distribution; Electric power transmission; Electric power transmission networks; Electric vehicles; Investments; Monte Carlo methods; Taxicabs; Carbon transaction cost; Collaborative planning; Distributed energies; Electric vehicle charging; Electric vehicle charging behavior; Energy stations; Low carbon; Low-carbon distributed energy station; Optimal collaborative planning strategy of station-network; Planning strategies; Station network; Transaction cost; Carbon","This work is supported by National Key Research and Development Program of China (2016YFC1401902) and Shanghai Science and Technology Commission Program (21DZ1207300).","Article","Final","","Scopus","2-s2.0-85144340555"
"Moradi-Sepahvand, M.; Amraee, T.; Aminifar, F.; Akbari, A.","Moradi-Sepahvand, Mojtaba (57203858440); Amraee, Turaj (9742226500); Aminifar, Farrokh (23007475800); Akbari, Amirhossein (57225390873)","57203858440; 9742226500; 23007475800; 57225390873","Coordinated expansion planning of transmission and distribution systems integrated with smart grid technologies","2023","International Journal of Electrical Power and Energy Systems","147","","108859","","","47","10.1016/j.ijepes.2022.108859","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143548855&doi=10.1016%2Fj.ijepes.2022.108859&partnerID=40&md5=dbf0abf11e90b5c39c471d99a3129518","Integration of smart grid technologies in distribution systems, particularly behind-the-meter initiatives, has a direct impact on transmission network planning. This paper develops a coordinated expansion planning of transmission and active distribution systems via a stochastic multistage mathematical programming model. In the transmission level, in addition to lines, sitting and sizing of utility-scale battery energy storage systems and wind power plants under renewable portfolio standard policy are planned. Switchable feeders and distributed generations are decision variables in the distribution level while the impact of demand response programs as a sort of behind-the-meter technologies is accommodated as well. Expansion of electric vehicle taxi charging stations is included as a feasible option in both transmission and distribution levels. In order to deal with short-term uncertainty of load demand, renewable energy sources output power, and the charging pattern of electric vehicle taxis in each station, a chronological time-period clustering algorithm along with Monte Carlo simulation is utilized. The proposed model is tackled by means of Benders Dual Decomposition (BDD) method. The IEEE RTS test system (as the transmission system) along with four IEEE 33-node test feeders (as distribution test systems) are examined to validate effectiveness of the proposed model. © 2022 The Author(s)","Distribution system operator; Smart grid technologies; Transmission and distribution expansion planning; Transmission system operator","Charging (batteries); Clustering algorithms; Electric loads; Electric power distribution; Electric power transmission; Electric power transmission networks; Electric vehicles; Intelligent systems; Monte Carlo methods; Stochastic models; Stochastic programming; Taxicabs; Vehicle transmissions; Vehicle-to-grid; Wind power; Distribution levels; Distribution system operator; Distribution systems; Expansion planning; Smart Grid technologies; System operator; Test systems; Transmission and distribution; Transmission and distribution expansion planning; Transmission system operators; Stochastic systems","","Article","Final","All Open Access; Green Accepted Open Access; Green Final Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85143548855"
"Wang, J.; Guo, Q.; Sun, H.; Chen, M.","Wang, Jiawei (58465009800); Guo, Qinglai (24279544300); Sun, Hongbin (7404827571); Chen, Min (55733250100)","58465009800; 24279544300; 7404827571; 55733250100","Collaborative optimization of logistics and electricity for the mobile charging service system","2023","Applied Energy","336","","120845","","","29","10.1016/j.apenergy.2023.120845","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150368741&doi=10.1016%2Fj.apenergy.2023.120845&partnerID=40&md5=0e397d94e116621c19b06a43ec640fa2","Mobile charging is proposed as a brand-new charging solution in response to the relatively slow construction of charging facilities. Operating a mobile charging service system involves scheduling mobile charging vehicles (MCVs) and batteries owned by the mobile charging service operator (MCSO), which is important to improve its economic efficiency and has a nonnegligible impact on the power system. In this paper, a bilevel optimization framework for logistics and electricity is developed for MCSOs to achieve joint optimization of planning and operation of the mobile charging service system. For transportation logistics, the upper level plans the size of the MCV fleet and routes MCVs in the dynamic traffic network, which can accommodate dynamic changes in the traffic network and make a reasonable route arrangement. For battery energy management, the lower level plans the battery number and optimizes battery charging and discharging at energy service stations, which can track the electric quantity and the state of each battery during the whole process and accurately describe the matching relationship between batteries in a battery swapping scenario. The upper and lower levels are coupled through the battery swapping behavior between MCVs and energy service stations. Through the iteration and adjustment of the two levels, the results optimize the MCSO's total net profit as much as possible and provide assistance to the power system using service capacity margins. Numerical experiments of a certain scale are used to verify the validity of the proposed framework. © 2023 Elsevier Ltd","Battery scheduling; Bilevel optimization; Mobile charging service; Vehicle routing","Charging (batteries); Electric load dispatching; Fleet operations; Secondary batteries; Battery scheduling; Battery swapping; Bi-level optimization; Energy services; Mobile charging; Mobile charging service; Optimisations; Power; Service systems; Traffic networks; Vehicle routing; electric vehicle; electricity; energy planning; fuel cell; logistics; optimization","This work is sponsored by Tsinghua-Toyota Joint Research Institute Inter-disciplinary Program, China .","Article","Final","","Scopus","2-s2.0-85150368741"
"Dong, Y.; Zheng, W.; Cao, X.; Sun, X.; He, Z.","Dong, Yuchen (59889167200); Zheng, Weibo (57190949939); Cao, Xiaoyu (56199714100); Sun, Xunhang (57295286700); He, Zhengwen (23977941200)","59889167200; 57190949939; 56199714100; 57295286700; 23977941200","Co-planning of hydrogen-based microgrids and fuel-cell bus operation centers under low-carbon and resilience considerations","2023","Applied Energy","336","","120849","","","37","10.1016/j.apenergy.2023.120849","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148373930&doi=10.1016%2Fj.apenergy.2023.120849&partnerID=40&md5=0997b59507156181b9eeeebce0871751","The hydrogen-driven fuel-cell electric buses, which bear the advantages of emission free, high storage content and long mileage range, provide a promising choice for decarbonizing the public transportation system. Also, the operation centers for fuel-cell electric buses can be upgraded as the hydrogen-based microgrids to achieve higher economic benefits and resilience levels. To support the low-carbon and resilience-oriented planning of microgrid-aided bus centers, this paper presents a two-stage robust optimization formulation with integer corrective decisions. In particular, the first-stage problem is to optimize the microgrid siting decisions as well as the capacity configuration of renewable-powered electrolyzers, fuel-cell stacks and hydrogen refueling stations for maximizing the annualized benefits. Then, a min–max problem is introduced in the second-stage to improve the load survival value subject to the planning decisions and the worst-case contingency scenario. Also, various corrective actions, e.g., the emergency response of fuel-cell electric buses using vehicle-to-grid functionality, the energy scheduling of stationary equipment in hydrogen refueling stations and the adaptive network reconfiguration, are considered for resilience enhancement of the local power network. As the resulting robust optimization formulation is with a challenging mixed-integer recourse structure, the nested column-and-constraint generation algorithm is designed. Numerical results on exemplary power network and public transportation system validate the effectiveness of the proposed planning methodology, which has the potential to be profitable under normal operations while improving the load survivability under severe disastrous occasions. Moreover, our customized nested column-and-constraint generation shows a satisfactory solution performance, which facilitates prompt disaster relief actions of energy-transportation network. © 2023 Elsevier Ltd","Fuel-cell electric buses; Hydrogen-based networked microgrids; Low-carbon expansion planning; Nested column-and-constraint generation; Power network resilience; Two-stage robust optimization","Carbon; Disaster prevention; Electric loads; Electric network analysis; Emergency services; Fuel cells; Integer programming; Standby power systems; Constraints generation; Electric bus; Expansion planning; Fuel-cell electric bus; Hydrogen-based networked microgrid; Low carbon; Low-carbon expansion planning; Microgrid; Nested column-and-constraint generation; Network resilience; Power network resilience; Power networks; Robust optimization; Two-stage robust optimization; Electric buses; bus transport; electric vehicle; expansion; fuel cell; optimization; power generation; public transport; resilience","This work is supported in part by the National Key Research and Development Program of China (No. 2022YFA1004600 ); in part by the National Natural Science Foundation of China (No. 62103321 , 62192752 , 72002164 and 71871176 ).","Article","Final","","Scopus","2-s2.0-85148373930"
"Moradi Amani, A.; Sajjadi, S.S.; Al Khafaf, N.; Song, H.; Jalili, M.; Yu, X.; Meegahapola, L.; McTaggart, P.","Moradi Amani, Ali (36843304800); Sajjadi, Samaneh Sadat (56306064100); Al Khafaf, Nameer (57203245357); Song, Hui (55336557700); Jalili, Mahdi (22035084800); Yu, Xinghuo (7404114597); Meegahapola, Lasantha G. (24463641900); McTaggart, Peter (57211547157)","36843304800; 56306064100; 57203245357; 55336557700; 22035084800; 7404114597; 24463641900; 57211547157","Technology balancing for reliable EV uptake in distribution grids: An Australian case study","2023","Renewable Energy","206","","","939","948","15","10.1016/j.renene.2023.02.056","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149071109&doi=10.1016%2Fj.renene.2023.02.056&partnerID=40&md5=249ae0e17659851ecb500a912afb2854","The emergence of new technologies, such as photovoltaic (PV) solar systems, household Battery Energy Storage Systems (BESS) and electric vehicles (EVs), has introduced challenges for the Distribution Network Operators (DNOs) in the operation of power distribution networks. Uncontrolled renewable energy generation and storage, and EV charging can cause over/under voltage problems. Recently, there has been much effort, from control and scheduling of BESSs and EVs to PV curtailment, to address these issues. However, the knowledge about how much penetration of these technologies can be well-tolerated by the grid when all charging/discharging are uncontrolled, would still be of interest to DNOs. There are many depending factors such as customer consumption profiles, grid conditions and network constraints. In this paper, we propose a framework to determine the critical balance between PV, BESS and EV in a distribution grid. Using real data from 4000 customers in Victoria, Australia, we find that in the absence of advanced control and scheduling algorithms, the best approach to prevent voltage violation in the grid is to keep the installation of PV and BESS balanced with the EV penetration. We also show that power export to the grid by EVs using the vehicle-to-home (V2H) technology may contribute to keeping the grid voltage in the standard range if 40%–80% of EVs are in the discharge mode in critical peak times. While complete coordination of PV, EV and BESS has not yet been fully realized in many networks, our methodology provides a framework for DNOs to perform optimised planning. © 2023","Electric vehicles; Household battery energy storage system; Overvoltage; Photovoltaics; Power distribution networks","Charging (batteries); Digital storage; Electric discharges; Electric network analysis; Electric power distribution; Electric vehicles; Renewable energy resources; Scheduling algorithms; Secondary batteries; Solar power generation; Vehicle-to-grid; Battery energy storage systems; Case-studies; Distribution grid; Distribution network operators; Household battery energy storage system; Over-voltages; Photovoltaic solar systems; Photovoltaics; Power distribution network; Renewable energy storages; Battery storage; algorithm; electric vehicle; energy storage; equipment; photovoltaic system; Australia; Victoria [Australia]","This work is supported by the Australian Research Council through the project no LP180101309 , and by the Victorian Government through Victorian Higher Education State Investment Fund.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85149071109"
